drug_name,test_sample_count,test_mae,test_rmse,test_mse,test_pearson,test_spearman,test_r2,test_original_mae,test_original_rmse
(5Z)-7-Oxozeaenol,28,0.020708232053688595,0.027131565213632542,0.0007361218309415955,0.7653595517364984,0.7235905856595511,0.45376591611729844,0.8333138059237932,1.0930985619783975
5-Fluorouracil,26,0.02397534824334658,0.029371413115259468,0.0008626799083872359,0.798967427885959,0.7811965811965812,0.5110215993242249,0.9937787980826018,1.218717449276297
681640,22,0.01930122348395261,0.022994143130482855,0.0005287306183051319,0.5162934013487173,0.5200451722190853,0.23848211107369877,0.781287004681667,0.9297752750120554
A-443654,11,0.032927751541137695,0.04068197510308133,0.0016550230982877293,0.4303193670104508,0.5,-0.07343859030859168,1.3223046131261844,1.6345475822516233
A-770041,12,0.03620163599650065,0.05157685277611546,0.0026601717422890894,0.36719724213101523,0.4685314685314686,0.10578737649417125,1.465656167177613,2.0817345849428333
AICA Ribonucleotide,19,0.05802955752924869,0.06059218787928831,0.003671413231998973,0.5492665028329407,0.4473684210526316,-8.942711936201764,2.6232500688548828,2.749095958486055
AKT inhibitor VIII,46,0.020190719677054363,0.025450108725674256,0.0006477080341486409,0.5778551297190352,0.45794516587318956,0.3028057038590236,0.8199781318055146,1.0339517690014677
AR-42,19,0.011699896109731574,0.015228507565892453,0.00023190744268444368,0.8408023819517871,0.7842105263157895,0.5985796257447087,0.46946633697360163,0.6110012863300266
AS601245,23,0.014124162819074549,0.017648364135253614,0.000311464756650506,0.7264393169800305,0.7470355731225298,0.5244419459130769,0.5750286748050752,0.7193517955380272
AS605240,21,0.021755664121536983,0.029069632185676497,0.0008450435154105188,0.41823272485868296,0.39350649350649347,-0.44524375222357904,0.9005933763568388,1.2038262689267991
AT-7519,28,0.02566779511315482,0.03286785373486563,0.0010802958091365206,0.7212103830906086,0.6015325670498085,0.48701388150698266,1.0373859073538743,1.3261613464442241
AZ628,12,0.022078650693098705,0.02688308561924491,0.0007227002924116525,0.8675808953049627,0.8181818181818183,0.7241331674466494,0.8902121901144923,1.0816774194592211
AZD6482,51,0.02071669756197462,0.024640755362791887,0.0006071668248489571,0.6246608020751506,0.5946422921152112,0.3517499739260844,0.8451790239557544,1.0056187235183243
AZD7762,20,0.027167840301990508,0.03326332929715184,0.00110644907593076,0.39943412428308145,0.3639097744360902,0.0894518954794068,1.0920024014261664,1.3392158143330228
AZD8055,22,0.023309314792806454,0.0272355944532172,0.0007417776052201154,0.14779615365880075,0.08187464709203841,-0.18273995916762886,0.9340457875858159,1.0918931110475274
Afatinib,55,0.04471625198017467,0.05632624062592347,0.0031726453830494316,0.03494505426134809,0.007648045600912303,-0.021947791560268826,1.8157683254654151,2.2836039067987235
Alectinib,26,0.01379812451509329,0.016016362453025613,0.0002565238662266886,0.8946426239464172,0.8372649572649572,0.31363933595626714,0.5729592734208929,0.6662713477460861
Amuvatinib,30,0.0337707002957662,0.042806030520862196,0.0018323562489529859,0.447078619091358,0.3081201334816463,0.1542880606799889,1.3919616085181998,1.7580984926475987
Avagacestat,48,0.018028891334931057,0.021715832171917877,0.00047157736691890345,0.5420613236845734,0.5197850520603029,-0.09263173359253019,0.7520437666637788,0.9087017749562922
Axitinib,26,0.02252518213712252,0.02726228824163049,0.0007432323601697441,0.5259748791392452,0.507008547008547,0.26755606404470733,0.9138813481251334,1.1048505527995645
BAY-61-3606,29,0.023993048174627895,0.030252052015038278,0.0009151866511205816,0.6355456118286241,0.6758620689655171,0.32486428455014793,0.9800626449503073,1.2379459983603869
BI-2536,17,0.02128731327898362,0.0250735209964818,0.0006286814551610137,0.39457852656460485,0.47794117647058826,-0.18679232188964834,0.8625073165057182,1.0155095876473232
BIX02189,28,0.024056177054132735,0.027741247879632048,0.0007695768339191897,0.7454227147390412,0.5577449370552819,0.33791880383698303,1.001771534156447,1.151546799326492
BMS-345541,21,0.014938238121214368,0.0204830001025392,0.0004195532932006209,0.6790687951586059,0.7493506493506493,0.4412531216222123,0.6099908324122902,0.8355442591382264
BMS-509744,7,0.02023402282169887,0.025490340917220362,0.0006497574800761186,0.9425890301412613,0.9642857142857145,0.6310936861748029,0.8336525474345416,1.0529528115543823
BMS-536924,38,0.020210103769051403,0.026315233775533634,0.0006924915286609861,0.5257162799414395,0.46449283291388554,0.2755994698934655,0.8181328439212503,1.0640391480425935
BMS-754807,28,0.02768147736787796,0.034086396256366,0.001161882409746002,0.5714998814787393,0.5632183908045977,0.25732903613230407,1.114023673421517,1.3718817734605409
BX-912,27,0.025805212833263255,0.03347197475973837,0.0011203730943165624,0.7162784575397491,0.6819291819291821,0.47296883510999055,1.0534497210448228,1.368449679192923
Belinostat,26,0.020620498519677382,0.0298226563837989,0.0008893908337861411,0.5865866304992016,0.4878632478632478,0.07328339769352787,0.8274576123866895,1.196728095729361
Bexarotene,29,0.021034925148404878,0.025499228771103465,0.0006502106679210707,0.43586029347633987,0.4334975369458127,0.12469677782586075,0.8680420115238812,1.0523736015855139
Bicalutamide,58,0.02365438280434444,0.02667404994563482,0.0007115049405022209,0.13612631643992462,0.17291128345821086,-0.013097844935179515,0.9766186288365865,1.103582424696517
Bortezomib,8,0.026957917958498,0.029820222873567812,0.0008892456922292569,0.6297259708471644,0.7142857142857144,0.07969105878146354,1.152083353789814,1.2795859135240897
Bosutinib,20,0.027416898310184477,0.03911243084292315,0.001529782246442446,0.3420784823704748,0.3233082706766917,-0.030604591541342208,1.1067260443451388,1.5764840305370815
Bryostatin 1,19,0.01833869595276682,0.023012660475359083,0.0005295825421541542,0.4170911014202514,0.343859649122807,-0.15666311649914477,0.7511602051871925,0.9466163705345604
CAY10603,21,0.022472170137223742,0.02848579501689905,0.0008114405177447907,0.7950555888703744,0.8311688311688311,0.6094428858954763,0.9119562292604154,1.1628175505637293
CCT-018159,32,0.01734207570552826,0.021720850836292365,0.0004717953610524628,0.6279466396593862,0.6220674486803518,0.296463928067515,0.716598386173364,0.9012862100574496
CCT007093,33,0.02070790709871234,0.02319745562581942,0.0005381219475118611,0.21633933731289315,0.33589572192513373,-0.5444832893643801,0.8605108546399599,0.9646372580134389
CGP-60474,9,0.023182464970482722,0.029369140145902722,0.000862546392909675,0.7989115220437149,0.9166666666666666,0.4495317574564015,0.9379537352336725,1.1822933105425926
CHIR-99021,51,0.02316209966061162,0.02958160385990747,0.0008750712869244925,0.42341522462874825,0.39556561085972847,0.0104952825203114,0.9601839143783769,1.2314401453863804
CI-1040,24,0.020254926135142643,0.02522563950197594,0.0006363328882836491,0.8523528367607053,0.8347826086956521,0.6497084271426822,0.8252070607357406,1.0287751260334126
CMK,11,0.029105078090320934,0.031743127942515284,0.0010076261715748944,-0.5425025657072009,-0.5727272727272729,-1.6331956992245802,1.179501272351262,1.286342775384035
CP466722,33,0.016086269508708607,0.021040523981004408,0.00044270364939522164,0.49720507989124846,0.5137032085561497,0.21404743066170517,0.6594449199707553,0.8664762218732132
CP724714,20,0.01838051974773407,0.02147753280701005,0.000461284415476193,0.23932665752267399,0.004511278195488721,-1.297557837162922,0.7673232858248753,0.8983235226534353
CUDC-101,32,0.026281815953552723,0.03658469132198262,0.00133843963912475,0.636854394288823,0.6649560117302052,0.4007635417069575,1.0589368809344146,1.476070907265203
CX-5461,27,0.0272391504711575,0.0321062884394356,0.001030813757356236,0.6652303458421348,0.7466422466422465,0.3890262182479707,1.1180237296733053,1.3159270380112715
Cabozantinib,35,0.018193207468305314,0.022082653665117,0.00048764359289350524,0.6579171675165733,0.7044817927170869,0.4205522804533677,0.743489834122938,0.899019814135021
Camptothecin,26,0.028672339824529793,0.03552836444985467,0.0012622646804816967,0.7587402066444998,0.76,0.4633401673780466,1.2084914645317508,1.508340409259711
Cisplatin,21,0.017235520340147473,0.022772193399622567,0.0005185727922298137,0.6367652890859383,0.5701298701298702,0.3327760547505595,0.7087631418085966,0.9374669810349505
Crizotinib,9,0.03261594308747186,0.0553744913510019,0.003066334292382184,0.007746771898144415,0.38333333333333336,-0.3436313117966354,1.3134171562363095,2.2302571937424402
Cyclopamine,10,0.024468833208084108,0.025398992471781612,0.000645108818581619,0.4868029895953166,0.6121212121212121,-0.905266429809038,1.0282312898000896,1.069488508831047
Cytarabine,23,0.027511236460312553,0.03528683361986065,0.0012451606269157282,0.5500409107896338,0.4545454545454546,0.139578524208247,1.1045908109986977,1.4165687793619977
