feature_name,reference_mean,reference_std,reference_min,reference_max,reference_nonzero_rate
TSPAN6 (7105),3.5859266537606107,1.6633826629189539,0.0,7.10594,0.9915110356536503
TNMD (64102),0.02996883089643464,0.12215500538085039,0.0,1.4747579,0.15789473684210525
DPM1 (8813),6.617181183955856,0.6271586579594882,4.3025675,9.150205,1.0
SCYL3 (57147),2.5857354133276744,0.5794836698710776,1.0783366,4.8300424,1.0
FIRRM (55732),3.9724718068760616,0.707130660208296,1.2888192,6.0452046,1.0
FGR (2268),0.43524764003904926,1.224731816831817,0.0,7.962283,0.8115449915110357
CFH (3075),2.043110158196095,2.159125575830531,0.0,8.279907,0.9847198641765704
FUCA2 (2519),5.395106742118846,1.719097160633263,0.0,8.385815,0.9949066213921901
GCLC (2729),5.199455351103565,1.1199209158760992,1.9756081,9.5457945,1.0
NFYA (4800),4.185908522580645,0.7257532252238809,2.022002,7.350621,1.0
STPG1 (90529),2.481057888120543,0.8525597797996403,0.0,4.600769,0.9932088285229203
NIPAL3 (57185),3.7169423380967745,0.9851747003695475,0.04423183,6.3124475,1.0
LAS1L (81887),5.297980919779287,0.6381022412987005,2.9870424,7.059139,1.0
ENPP4 (22875),2.4353591143395583,1.5369192931320346,0.0,6.555833,0.9711375212224108
SEMA3F (6405),2.575534312811545,1.8033375770807483,0.011567199,7.273124,1.0
CFTR (1080),0.6454629119320884,1.3652965036379916,0.0,8.468432,0.8590831918505942
ANKIB1 (54467),4.571610744991511,0.6784988423920361,1.2735755,7.724091,1.0
CYP51A1 (1595),5.794490241544992,0.9993109291215925,0.18146898,8.9307375,1.0
KRIT1 (889),5.0674286834465185,0.6395940622859202,2.184893,8.248549,1.0
RAD52 (5893),3.434321079881154,0.7171980906239568,1.2680631,5.5888314,1.0
MYH16 (84176),0.3361113461213922,0.6835227189440282,0.0,6.138329,0.8743633276740238
BAD (572),5.5644306718166385,0.7339874197930233,2.8070395,8.173922,1.0
LAP3 (51056),5.612978085823429,0.7217169336366682,2.0634787,8.409506,1.0
CD99 (4267),6.334292631612903,2.011220660916513,0.0,10.829104,0.9949066213921901
HS3ST1 (9957),0.9663052782368422,1.1554670216495697,0.0,5.9528136,0.9490662139219015
AOC1 (26),0.7296473500645161,1.3893592167620106,0.0,7.595377,0.8828522920203735
WNT16 (51384),0.3742687032724958,0.6455231511115072,0.0,6.1249256,0.9626485568760611
HECW1 (23072),0.8224750993811544,1.0658407311551288,0.0,4.6769047,0.8692699490662139
MAD1L1 (8379),4.066718508064516,1.0138431097541454,1.5090016,7.8592367,1.0
LASP1 (3927),6.5502378946519535,0.9429771414008569,1.348697,10.48783,1.0
SNX11 (29916),4.2085035613752115,0.6103673553395278,2.4360473,7.3175573,1.0
TMEM176A (55365),0.9244441168735144,1.7752477113136054,0.0,9.016658,0.7911714770797963
M6PR (4074),6.949206553056027,0.7131717708841401,0.5151866,8.6462345,1.0
