feature_name,reference_mean,reference_std,reference_min,reference_max,reference_nonzero_rate
FAM87B,0.001697792869269949,0.04116928914425201,0.0,1.0,0.001697792869269949
LINC02593,0.001697792869269949,0.041169289144251754,0.0,1.0,0.001697792869269949
SAMD11,0.04584040747028863,0.20913886418656574,0.0,1.0,0.04584040747028863
NOC2L,0.03904923599320883,0.1937121399436686,0.0,1.0,0.03904923599320883
KLHL17,0.04584040747028863,0.2091388641865656,0.0,1.0,0.04584040747028863
PLEKHN1,0.025466893039049237,0.15753834580186143,0.0,1.0,0.025466893039049237
PERM1,0.025466893039049237,0.15753834580186157,0.0,1.0,0.025466893039049237
HES4,0.028862478777589132,0.16741993936327382,0.0,1.0,0.028862478777589132
ISG15,0.008488964346349746,0.09174367460853125,0.0,1.0,0.008488964346349746
AGRN,0.09507640067911714,0.2933204369167289,0.0,1.0,0.09507640067911714
RNF223,0.006791171477079796,0.08212826229166596,0.0,1.0,0.006791171477079796
C1orf159,0.022071307300509338,0.1469155018864781,0.0,1.0,0.022071307300509338
TTLL10,0.035653650254668934,0.18542509937488694,0.0,1.0,0.035653650254668934
TNFRSF18,0.006791171477079796,0.0821282622916658,0.0,1.0,0.006791171477079796
TNFRSF4,0.01697792869269949,0.129188539081472,0.0,1.0,0.01697792869269949
SDF4,0.023769100169779286,0.15232901905709992,0.0,1.0,0.023769100169779286
B3GALT6,0.011884550084889643,0.10836654259580955,0.0,1.0,0.011884550084889643
C1QTNF12,0.011884550084889643,0.10836654259580929,0.0,1.0,0.011884550084889643
UBE2J2,0.008488964346349746,0.09174367460853185,0.0,1.0,0.008488964346349746
SCNN1D,0.030560271646859084,0.17212304158284347,0.0,1.0,0.030560271646859084
ACAP3,0.03735144312393888,0.18962149883517448,0.0,1.0,0.03735144312393888
PUSL1,0.010186757215619695,0.10041407865956727,0.0,1.0,0.010186757215619695
INTS11,0.022071307300509338,0.14691550188647812,0.0,1.0,0.022071307300509338
CPTP,0.0050933786078098476,0.07118592629282376,0.0,1.0,0.0050933786078098476
TAS1R3,0.035653650254668934,0.18542509937488644,0.0,1.0,0.035653650254668934
DVL1,0.059422750424448216,0.2364142279061101,0.0,1.0,0.059422750424448216
MXRA8,0.05263157894736842,0.22329687826943637,0.0,1.0,0.05263157894736842
AURKAIP1,0.01867572156196944,0.13537702532597368,0.0,1.0,0.01867572156196944
CCNL2,0.06621392190152801,0.2486556624087753,0.0,1.0,0.06621392190152801
MRPL20,0.008488964346349746,0.0917436746085318,0.0,1.0,0.008488964346349746
ANKRD65,0.01867572156196944,0.1353770253259736,0.0,1.0,0.01867572156196944
TMEM88B,0.008488964346349746,0.09174367460853165,0.0,1.0,0.008488964346349746
VWA1,0.01697792869269949,0.12918853908147188,0.0,1.0,0.01697792869269949
ATAD3C,0.013582342954159592,0.11574913785439261,0.0,1.0,0.013582342954159592
ATAD3B,0.022071307300509338,0.14691550188647826,0.0,1.0,0.022071307300509338
ATAD3A,0.01867572156196944,0.13537702532597368,0.0,1.0,0.01867572156196944
TMEM240,0.008488964346349746,0.09174367460853172,0.0,1.0,0.008488964346349746
SSU72,0.015280135823429542,0.12266480046307933,0.0,1.0,0.015280135823429542
FNDC10,0.15789473684210525,0.3646422752776595,0.0,1.0,0.15789473684210525
MIB2,0.05432937181663837,0.22666647563027048,0.0,1.0,0.05432937181663837
MMP23B,0.011884550084889643,0.10836654259580916,0.0,1.0,0.011884550084889643
CDK11B,0.02037351443123939,0.14127432300655138,0.0,1.0,0.02037351443123939
SLC35E2B,0.010186757215619695,0.10041407865956711,0.0,1.0,0.010186757215619695
CDK11A,0.030560271646859084,0.17212304158284358,0.0,1.0,0.030560271646859084
NADK,0.02037351443123939,0.14127432300655157,0.0,1.0,0.02037351443123939
GNB1,0.013582342954159592,0.1157491378543926,0.0,1.0,0.013582342954159592
CALML6,0.0050933786078098476,0.07118592629282383,0.0,1.0,0.0050933786078098476
TMEM52,0.015280135823429542,0.12266480046307986,0.0,1.0,0.015280135823429542
CFAP74,0.06112054329371817,0.23955129405035322,0.0,1.0,0.06112054329371817
GABRD,0.01697792869269949,0.12918853908147201,0.0,1.0,0.01697792869269949
PRKCZ,0.028862478777589132,0.1674199393632737,0.0,1.0,0.028862478777589132
FAAP20,0.010186757215619695,0.10041407865956715,0.0,1.0,0.010186757215619695
SKI,0.05432937181663837,0.22666647563027068,0.0,1.0,0.05432937181663837
MORN1,0.03225806451612903,0.17668469596940808,0.0,1.0,0.03225806451612903
RER1,0.008488964346349746,0.09174367460853153,0.0,1.0,0.008488964346349746
PEX10,0.030560271646859084,0.17212304158284308,0.0,1.0,0.030560271646859084
PLCH2,0.1035653650254669,0.3046958814828457,0.0,1.0,0.1035653650254669
PANK4,0.04074702886247878,0.1977035874772106,0.0,1.0,0.04074702886247878
TNFRSF14,0.023769100169779286,0.1523290190570998,0.0,1.0,0.023769100169779286
PRXL2B,0.0050933786078098476,0.07118592629282398,0.0,1.0,0.0050933786078098476
MMEL1,0.044142614601018676,0.20541188908435795,0.0,1.0,0.044142614601018676
TTC34,0.05432937181663837,0.22666647563027045,0.0,1.0,0.05432937181663837
ACTRT2,0.01867572156196944,0.1353770253259737,0.0,1.0,0.01867572156196944
PRDM16,0.057724957555178265,0.23322261217650211,0.0,1.0,0.057724957555178265
ARHGEF16,0.028862478777589132,0.1674199393632738,0.0,1.0,0.028862478777589132
MEGF6,0.07640067911714771,0.2656381285651339,0.0,1.0,0.07640067911714771
TPRG1L,0.022071307300509338,0.14691550188647812,0.0,1.0,0.022071307300509338
TP73,0.030560271646859084,0.17212304158284317,0.0,1.0,0.030560271646859084
CCDC27,0.030560271646859084,0.17212304158284283,0.0,1.0,0.030560271646859084
LRRC47,0.02037351443123939,0.14127432300655154,0.0,1.0,0.02037351443123939
CEP104,0.025466893039049237,0.1575383458018616,0.0,1.0,0.025466893039049237
DFFB,0.010186757215619695,0.10041407865956715,0.0,1.0,0.010186757215619695
AJAP1,0.04753820033955857,0.21278702932282945,0.0,1.0,0.04753820033955857
NPHP4,0.059422750424448216,0.23641422790611016,0.0,1.0,0.059422750424448216
KCNAB2,0.028862478777589132,0.16741993936327376,0.0,1.0,0.028862478777589132
CHD5,0.12393887945670629,0.3295118110413062,0.0,1.0,0.12393887945670629
RPL22,0.05602716468590832,0.22997417573102946,0.0,1.0,0.05602716468590832
RNF207,0.035653650254668934,0.1854250993748864,0.0,1.0,0.035653650254668934
ICMT,0.010186757215619695,0.10041407865956724,0.0,1.0,0.010186757215619695
HES3,0.011884550084889643,0.10836654259580931,0.0,1.0,0.011884550084889643
GPR153,0.025466893039049237,0.15753834580186174,0.0,1.0,0.025466893039049237
ACOT7,0.023769100169779286,0.15232901905709986,0.0,1.0,0.023769100169779286
HES2,0.0050933786078098476,0.07118592629282379,0.0,1.0,0.0050933786078098476
ESPN,0.04584040747028863,0.20913886418656558,0.0,1.0,0.04584040747028863
TNFRSF25,0.025466893039049237,0.15753834580186174,0.0,1.0,0.025466893039049237
PLEKHG5,0.042444821731748725,0.20160173322645,0.0,1.0,0.042444821731748725
NOL9,0.028862478777589132,0.1674199393632738,0.0,1.0,0.028862478777589132
TAS1R1,0.028862478777589132,0.16741993936327385,0.0,1.0,0.028862478777589132
ZBTB48,0.027164685908319185,0.16256311312170935,0.0,1.0,0.027164685908319185
KLHL21,0.023769100169779286,0.15232901905709986,0.0,1.0,0.023769100169779286
PHF13,0.013582342954159592,0.1157491378543926,0.0,1.0,0.013582342954159592
THAP3,0.0050933786078098476,0.07118592629282386,0.0,1.0,0.0050933786078098476
DNAJC11,0.02037351443123939,0.1412743230065515,0.0,1.0,0.02037351443123939
CAMTA1,0.08149405772495756,0.27359235420691036,0.0,1.0,0.08149405772495756
VAMP3,0.0050933786078098476,0.07118592629282376,0.0,1.0,0.0050933786078098476
PER3,0.03735144312393888,0.1896214988351742,0.0,1.0,0.03735144312393888
UTS2,0.006791171477079796,0.08212826229166595,0.0,1.0,0.006791171477079796
TNFRSF9,0.015280135823429542,0.12266480046307944,0.0,1.0,0.015280135823429542
PARK7,0.0050933786078098476,0.07118592629282391,0.0,1.0,0.0050933786078098476
ERRFI1,0.01867572156196944,0.13537702532597365,0.0,1.0,0.01867572156196944
SLC45A1,0.09168081494057725,0.288574848371109,0.0,1.0,0.09168081494057725
RERE,0.07809847198641766,0.26832648147323085,0.0,1.0,0.07809847198641766
ENO1,0.011884550084889643,0.10836654259580905,0.0,1.0,0.011884550084889643
CA6,0.01697792869269949,0.12918853908147193,0.0,1.0,0.01697792869269949
SLC2A7,0.027164685908319185,0.16256311312170965,0.0,1.0,0.027164685908319185
SLC2A5,0.01867572156196944,0.1353770253259738,0.0,1.0,0.01867572156196944
GPR157,0.022071307300509338,0.1469155018864784,0.0,1.0,0.022071307300509338
H6PD,0.030560271646859084,0.17212304158284333,0.0,1.0,0.030560271646859084
SPSB1,0.008488964346349746,0.09174367460853176,0.0,1.0,0.008488964346349746
SLC25A33,0.01867572156196944,0.13537702532597365,0.0,1.0,0.01867572156196944
TMEM201,0.025466893039049237,0.1575383458018615,0.0,1.0,0.025466893039049237
PIK3CD,0.07640067911714771,0.265638128565134,0.0,1.0,0.07640067911714771
CLSTN1,0.030560271646859084,0.17212304158284308,0.0,1.0,0.030560271646859084
LZIC,0.013582342954159592,0.11574913785439243,0.0,1.0,0.013582342954159592
NMNAT1,0.015280135823429542,0.12266480046307934,0.0,1.0,0.015280135823429542
RBP7,0.003395585738539898,0.05817263734808775,0.0,1.0,0.003395585738539898
UBE4B,0.03904923599320883,0.19371213994366854,0.0,1.0,0.03904923599320883
KIF1B,0.05263157894736842,0.22329687826943656,0.0,1.0,0.05263157894736842
PGD,0.01697792869269949,0.12918853908147188,0.0,1.0,0.01697792869269949
CORT,0.001697792869269949,0.04116928914425188,0.0,1.0,0.001697792869269949
DFFA,0.011884550084889643,0.1083665425958094,0.0,1.0,0.011884550084889643
PEX14,0.023769100169779286,0.15232901905709972,0.0,1.0,0.023769100169779286
CASZ1,0.07130730050933787,0.25733746210648983,0.0,1.0,0.07130730050933787
C1orf127,0.044142614601018676,0.20541188908435787,0.0,1.0,0.044142614601018676
TARDBP,0.01867572156196944,0.13537702532597354,0.0,1.0,0.01867572156196944
MASP2,0.027164685908319185,0.16256311312170943,0.0,1.0,0.027164685908319185
SRM,0.01867572156196944,0.13537702532597365,0.0,1.0,0.01867572156196944
EXOSC10,0.03735144312393888,0.189621498835174,0.0,1.0,0.03735144312393888
MTOR,0.0933786078098472,0.2909622714603076,0.0,1.0,0.0933786078098472
ANGPTL7,0.010186757215619695,0.1004140786595672,0.0,1.0,0.010186757215619695
UBIAD1,0.01697792869269949,0.12918853908147201,0.0,1.0,0.01697792869269949
DISP3,0.0933786078098472,0.2909622714603084,0.0,1.0,0.0933786078098472
FBXO2,0.011884550084889643,0.10836654259580927,0.0,1.0,0.011884550084889643
FBXO44,0.04074702886247878,0.1977035874772106,0.0,1.0,0.04074702886247878
FBXO6,0.006791171477079796,0.08212826229166578,0.0,1.0,0.006791171477079796
MAD2L2,0.011884550084889643,0.10836654259580926,0.0,1.0,0.011884550084889643
DRAXIN,0.02037351443123939,0.1412743230065512,0.0,1.0,0.02037351443123939
C1orf167,0.06451612903225806,0.2456701001891586,0.0,1.0,0.06451612903225806
MTHFR,0.027164685908319185,0.16256311312170915,0.0,1.0,0.027164685908319185
CLCN6,0.03735144312393888,0.18962149883517393,0.0,1.0,0.03735144312393888
NPPA,0.008488964346349746,0.09174367460853165,0.0,1.0,0.008488964346349746
NPPB,0.011884550084889643,0.10836654259580934,0.0,1.0,0.011884550084889643
PLOD1,0.03395585738539898,0.18111559053439175,0.0,1.0,0.03395585738539898
MFN2,0.03395585738539898,0.18111559053439175,0.0,1.0,0.03395585738539898
MIIP,0.02037351443123939,0.14127432300655138,0.0,1.0,0.02037351443123939
TNFRSF8,0.030560271646859084,0.17212304158284306,0.0,1.0,0.030560271646859084
TNFRSF1B,0.025466893039049237,0.15753834580186155,0.0,1.0,0.025466893039049237
VPS13D,0.1035653650254669,0.30469588148284577,0.0,1.0,0.1035653650254669
DHRS3,0.006791171477079796,0.08212826229166578,0.0,1.0,0.006791171477079796
AADACL4,0.022071307300509338,0.14691550188647814,0.0,1.0,0.022071307300509338
AADACL3,0.01867572156196944,0.13537702532597354,0.0,1.0,0.01867572156196944
PRAMEF12,0.023769100169779286,0.1523290190570996,0.0,1.0,0.023769100169779286
PRAMEF1,0.028862478777589132,0.1674199393632738,0.0,1.0,0.028862478777589132
PRAMEF11,0.03225806451612903,0.17668469596940864,0.0,1.0,0.03225806451612903
HNRNPCL1,0.02037351443123939,0.14127432300655127,0.0,1.0,0.02037351443123939
HNRNPCL2,0.022071307300509338,0.14691550188647814,0.0,1.0,0.022071307300509338
PRAMEF18,0.010186757215619695,0.1004140786595672,0.0,1.0,0.010186757215619695
PRAMEF31P,0.001697792869269949,0.04116928914425179,0.0,1.0,0.001697792869269949
PRAMEF19,0.006791171477079796,0.08212826229166581,0.0,1.0,0.006791171477079796
PRAMEF17,0.025466893039049237,0.15753834580186177,0.0,1.0,0.025466893039049237
PRAMEF20,0.027164685908319185,0.1625631131217094,0.0,1.0,0.027164685908319185
LRRC38,0.02037351443123939,0.14127432300655127,0.0,1.0,0.02037351443123939
PDPN,0.010186757215619695,0.10041407865956704,0.0,1.0,0.010186757215619695
PRDM2,0.06112054329371817,0.2395512940503533,0.0,1.0,0.06112054329371817
KAZN,0.03904923599320883,0.19371213994366857,0.0,1.0,0.03904923599320883
TMEM51,0.011884550084889643,0.10836654259580954,0.0,1.0,0.011884550084889643
FHAD1,0.0730050933786078,0.2601448629502198,0.0,1.0,0.0730050933786078
EFHD2,0.011884550084889643,0.10836654259580923,0.0,1.0,0.011884550084889643
CTRC,0.006791171477079796,0.08212826229166592,0.0,1.0,0.006791171477079796
CELA2A,0.022071307300509338,0.14691550188647823,0.0,1.0,0.022071307300509338
CELA2B,0.013582342954159592,0.11574913785439256,0.0,1.0,0.013582342954159592
CASP9,0.027164685908319185,0.16256311312170946,0.0,1.0,0.027164685908319185
DNAJC16,0.03395585738539898,0.18111559053439175,0.0,1.0,0.03395585738539898
AGMAT,0.006791171477079796,0.08212826229166573,0.0,1.0,0.006791171477079796
DDI2,0.010186757215619695,0.10041407865956715,0.0,1.0,0.010186757215619695
RSC1A1,0.028862478777589132,0.16741993936327376,0.0,1.0,0.028862478777589132
PLEKHM2,0.03395585738539898,0.18111559053439175,0.0,1.0,0.03395585738539898
SLC25A34,0.022071307300509338,0.14691550188647812,0.0,1.0,0.022071307300509338
TMEM82,0.015280135823429542,0.12266480046307948,0.0,1.0,0.015280135823429542
FBLIM1,0.023769100169779286,0.15232901905709972,0.0,1.0,0.023769100169779286
UQCRHL,0.0050933786078098476,0.07118592629282387,0.0,1.0,0.0050933786078098476
SPEN,0.15110356536502548,0.3581497981278263,0.0,1.0,0.15110356536502548
ZBTB17,0.025466893039049237,0.1575383458018616,0.0,1.0,0.025466893039049237
SRARP,0.006791171477079796,0.08212826229166585,0.0,1.0,0.006791171477079796
HSPB7,0.006791171477079796,0.0821282622916658,0.0,1.0,0.006791171477079796
CLCNKA,0.025466893039049237,0.15753834580186152,0.0,1.0,0.025466893039049237
CLCNKB,0.022071307300509338,0.14691550188647812,0.0,1.0,0.022071307300509338
FAM131C,0.006791171477079796,0.08212826229166585,0.0,1.0,0.006791171477079796
