record_index,drug_name,model_id,canonical_smiles,ic50_original,ic50_transformed,split
0,Palbociclib,ACH-000308,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,4.23872825,0.6044096104544733,train
1,Tivozanib,ACH-000009,CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl,0.72979477,0.5182367758731953,train
2,AZD6482,ACH-000408,CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3C(=O)O)N4CCOCC4,2.59227142,0.5644462967063069,train
3,UNC1215,ACH-000207,C1CCN(C1)C2CCN(CC2)C(=O)C3=CC(=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)NC6=CC=CC=C6,2.39965808,0.559705223169085,train
4,AKT inhibitor VIII,ACH-000008,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=C(C=C4)C5=C(N=C6C=C7C(=NC=N7)C=C6N5)C8=CC=CC=C8,2.56867761,0.5638661627905766,train
5,OSI-930,ACH-000118,C1=CC=C2C(=C1)C(=CC=N2)CNC3=C(SC=C3)C(=O)NC4=CC=C(C=C4)OC(F)(F)F,4.477212,0.6100972924290627,train
6,PIK-93,ACH-000666,CC1=C(SC(=N1)NC(=O)C)C2=CC(=C(C=C2)Cl)S(=O)(=O)NCCO,6.05722967,0.6469645367904259,train
7,BMS-509744,ACH-000363,CC1=CC(=C(C=C1SC2=CN=C(S2)NC(=O)C3=CC=C(C=C3)CNC(C)C(C)(C)C)C(=O)N4CCN(CC4)C(=O)C)OC,2.50218775,0.5622303481370682,train
8,BMS-509744,ACH-000838,CC1=CC(=C(C=C1SC2=CN=C(S2)NC(=O)C3=CC=C(C=C3)CNC(C)C(C)(C)C)C(=O)N4CCN(CC4)C(=O)C)OC,2.67488355,0.5664761961800826,train
9,Linifanib,ACH-000781,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N,3.08957792,0.5766308496183303,train
10,MK-2206,ACH-000551,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N,1.67564972,0.5417934988410615,train
11,NU7441,ACH-000452,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=CC=CC=C56,2.73482844,0.5679477374734847,train
12,Pevonedistat,ACH-000332,C1CC2=CC=CC=C2C1NC3=C4C=CN(C4=NC=N3)C5CC(C(C5)O)COS(=O)(=O)N,0.27278696,0.5068192511393581,train
13,Crizotinib,ACH-000821,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,2.35801802,0.5586788114620861,train
14,MK-2206,ACH-000945,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N,4.19909939,0.6034616988575956,train
15,XMD13-2,ACH-000644,C1CC1C(=O)NC2=NNC3=C2C=CC(=C3)C4=CC(=CC=C4)C(=O)NC5CC5,4.90329768,0.6201841141791706,train
16,Palbociclib,ACH-000947,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,0.66076116,0.5165130213764577,train
17,AZD6482,ACH-000270,CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3C(=O)O)N4CCOCC4,2.28213172,0.5568069586172227,train
18,Selumetinib,ACH-000937,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,3.59911536,0.5890190192501846,train
19,VX-702,ACH-000688,C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F,1.07031979,0.5267324793606553,train
20,FR-180204,ACH-000847,C1=CC=C(C=C1)C2=NN3C=CC=CC3=C2C4=CC5=C(NN=C5N=N4)N,4.85743924,0.6191032983319872,train
