record_index,drug_name,model_id,canonical_smiles,ic50_original,ic50_transformed,split
0,Vinblastine,ACH-001716,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-4.81806673,0.38182559656287085,train
1,PLX-4720,ACH-000450,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,0.02786871,0.5006967172990701,train
2,YK-4-279,ACH-000631,COC1=CC=C(C=C1)C(=O)CC2(C3=C(C=CC(=C3NC2=O)Cl)Cl)O,1.29384303,0.5323010275819103,train
3,QL-X-138,ACH-000561,CC1=C(C=C(C=C1)N2C(=O)C=CC3=CN=C4C=CC(=CC4=C32)C5=CNN=C5)NC(=O)C=C,2.65365076,0.5659546859657961,train
4,Camptothecin,ACH-000981,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,-5.12375175,0.3746368943335379,train
5,Trametinib,ACH-000584,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,-1.22269565,0.469470633388749,train
6,CHIR-99021,ACH-000420,CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N,2.30109401,0.55727484613774,train
7,SB590885,ACH-000188,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=NO)CC5,4.52914701,0.6113320063315453,train
8,XMD8-85,ACH-000363,CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(C5=CC=CC=C5C(=O)N4C)C)OC,1.03724685,0.5259079471900243,train
9,Linsitinib,ACH-000423,CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O,-0.04169618,0.49895759701024295,train
10,Luminespib,ACH-000743,CCNC(=O)C1=NOC(=C1C2=CC=C(C=C2)CN3CCOCC3)C4=CC(=C(C=C4O)O)C(C)C,-1.89101137,0.4528650911526108,train
11,WIKI4,ACH-000932,COC1=CC=C(C=C1)N2C(=NN=C2SCCCN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)C6=CC=NC=C6,-1.16761477,0.4708427488818951,train
12,Tanespimycin,ACH-000118,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC,-1.22421387,0.4694328195686046,train
13,Dacinostat,ACH-000040,C1=CC=C2C(=C1)C(=CN2)CCN(CCO)CC3=CC=C(C=C3)C=CC(=O)NO,-1.80221205,0.45506625245351917,train
14,TPCA-1,ACH-000616,C1=CC(=CC=C1C2=CC(=C(S2)NC(=O)N)C(=O)N)F,4.3291787,0.6065702131704217,train
15,Tanespimycin,ACH-000869,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC,0.7412267,0.5185221879386755,train
16,SL0101,ACH-001402,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)OC(=O)C)OC(=O)C,5.45511028,0.633093489464964,train
17,Tanespimycin,ACH-000114,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC,-2.07221818,0.4483791338934227,train
18,PFI-1,ACH-000528,CN1CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3OC)NC1=O,2.8852256,0.5716343927452865,train
19,AR-42,ACH-000544,CC(C)C(C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)NO,0.52425063,0.5131032648169842,train
20,XMD14-99,ACH-000583,CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC(=C(S3)C(=O)C4=C(C=CC=C4Cl)Cl)N)OC,3.22855276,0.5800199467476446,train
21,Ponatinib,ACH-000568,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,2.07686749,0.5517358571866438,train
22,Camptothecin,ACH-000337,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,-5.19668899,0.37292965943327,train
23,JNK-9L,ACH-000953,C1COCCN1C2=CC(=CC(=C2)C3=NC(=NC=C3)NC4=CC=C(C=C4)N5C=NC(=N5)N6CCOCC6)F,-0.67444985,0.4831451424168692,train
24,Vismodegib,ACH-000493,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,5.18448932,0.6267850032689929,train
25,681640,ACH-000078,C1CCC(CC1)NC(=O)NCC2CCCO2,1.87686595,0.5467843927228564,train
26,Linsitinib,ACH-000004,CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O,1.77895058,0.5443568473452806,train
27,Quizartinib,ACH-000346,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3,2.50487219,0.5622964184523518,train
28,NSC-207895,ACH-000824,CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-],4.7325369,0.616153571492756,train
29,Vorinostat,ACH-000810,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,1.86734734,0.5465485003996046,train
30,BMS-536924,ACH-000094,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NCC(C4=CC(=CC=C4)Cl)O)N5CCOCC5,0.45548674,0.5113852001791848,train
31,XMD8-92,ACH-000935,CCOC1=C(C=CC(=C1)N2CCC(CC2)O)NC3=NC=C4C(=N3)N(C5=CC=CC=C5C(=O)N4C)C,2.73261766,0.5678934878527004,train
32,(5Z)-7-Oxozeaenol,ACH-000260,CC1CC=CC(=O)C(C(CC=CC2=C(C(=CC(=C2)OC)O)C(=O)O1)O)O,-1.36421667,0.4659473792874244,train
33,Cytarabine,ACH-000559,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,3.76849456,0.593113005859232,train
34,AKT inhibitor VIII,ACH-000587,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=C(C=C4)C5=C(N=C6C=C7C(=NC=N7)C=C6N5)C8=CC=CC=C8,1.08941661,0.5272085107069673,train
35,Bicalutamide,ACH-000480,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,4.78356509,0.6173597132734361,train
36,CAY10603,ACH-000139,CC(C)(C)OC(=O)NC1=CC=C(C=C1)C2=CC(=NO2)C(=O)NCCCCCCC(=O)NO,0.64944731,0.5162304783838834,train
37,PLX-4720,ACH-000383,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,4.87255031,0.6194595749393811,train
38,CI-1040,ACH-000508,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl,4.59031514,0.6127843992083737,train
39,Doxorubicin,ACH-000007,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,0.73560921,0.518381941953171,train
40,Temsirolimus,ACH-000376,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC,-3.57512486,0.41156185602584083,train
41,TW 37,ACH-000366,CC(C)C1=CC=CC=C1CC2=CC(=C(C(=C2O)O)O)C(=O)NC3=CC=C(C=C3)S(=O)(=O)C4=CC=CC=C4C(C)(C)C,-2.13464811,0.4468355239038349,train
42,Imatinib,ACH-000617,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,3.89711246,0.5962131857176602,train
43,Tivozanib,ACH-000647,CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl,1.06770437,0.526667280309747,train
44,PFI-1,ACH-000563,CN1CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3OC)NC1=O,0.84799777,0.5211872493084153,train
45,Doramapimod,ACH-000075,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,5.41171561,0.632084910572502,train
46,Tubastatin A,ACH-001517,CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO,5.55776074,0.6354746431368056,train
47,CUDC-101,ACH-000703,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO,0.24825541,0.5062060665161696,train
48,Midostaurin,ACH-000188,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,0.02296276,0.5005740687477502,train
49,PLX-4720,ACH-000514,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,4.80780832,0.6179322399154235,train
50,BMS-536924,ACH-000583,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NCC(C4=CC(=CC=C4)Cl)O)N5CCOCC5,1.85011301,0.5461213422579987,train
51,Rucaparib,ACH-000420,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,4.46892223,0.6099000785642651,train
52,Tivozanib,ACH-000441,CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl,1.37766821,0.5343873340152313,train
53,MG-132,ACH-000787,CC(C)CC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCC1=CC=CC=C1,-2.2720668,0.44344143058321767,train
54,Sepantronium bromide,ACH-000817,CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4.[Br-],-5.48406265,0.36623424667482907,train
55,Tubastatin A,ACH-000886,CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO,5.25743013,0.6284896912536384,train
56,WHI-P97,ACH-000217,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C(=C3)Br)O)Br)OC,4.42159905,0.6087735723567012,train
57,Elesclomol,ACH-000168,CN(C(=S)C1=CC=CC=C1)NC(=O)CC(=O)NN(C)C(=S)C2=CC=CC=C2,-4.47528468,0.38994855535932743,train
58,SB590885,ACH-000521,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=NO)CC5,3.13682747,0.5777839224292505,train
59,UNC0638,ACH-000905,CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)C5CCCCC5,4.12539935,0.6016967509548037,train
60,BX-912,ACH-000132,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCC4=CN=CN4)Br,3.80800987,0.5940662767236932,train
61,Tozasertib,ACH-000075,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C,3.38924225,0.5839291806815257,train
62,Tamoxifen,ACH-000343,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,4.48826523,0.610360193081643,train
63,Navitoclax,ACH-000821,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)NC(CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,1.01891867,0.525450951344975,train
64,WIKI4,ACH-000423,COC1=CC=C(C=C1)N2C(=NN=C2SCCCN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)C6=CC=NC=C6,-0.01194686,0.49970132853552385,train
65,AICA Ribonucleotide,ACH-001086,C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)N,8.85534731,0.7079678390193326,train
66,ZM447439,ACH-001711,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5,1.52271525,0.5379944959514089,train
