epoch,train_loss,val_cross_entropy_loss,val_accuracy,val_macro_f1,val_auc,learning_rate
1,0.6670794288317362,0.602902352809906,0.75,0.42857142857142855,0.5733333333333333,0.001
2,0.5939303835233053,0.5569072365760803,0.75,0.42857142857142855,0.8666666666666667,0.001
3,0.5841191411018372,0.5301295518875122,0.75,0.42857142857142855,0.8666666666666667,0.001
4,0.5487685402234396,0.42804765701293945,0.75,0.42857142857142855,0.9066666666666667,0.001
5,0.5234520435333252,0.38299858570098877,0.75,0.42857142857142855,0.92,0.001
6,0.5010486642519633,0.3912343382835388,0.75,0.42857142857142855,0.92,0.001
7,0.501232365767161,0.3489288091659546,0.75,0.42857142857142855,0.9866666666666667,0.001
8,0.4794069528579712,0.3434278666973114,0.75,0.42857142857142855,0.9733333333333334,0.001
9,0.47759124636650085,0.33250564336776733,0.75,0.42857142857142855,0.9600000000000001,0.001
10,0.4638259510199229,0.3106013238430023,0.75,0.42857142857142855,0.9866666666666667,0.001
11,0.48659481604894,0.3240503668785095,0.75,0.42857142857142855,0.96,0.001
12,0.47004349033037823,0.3391907215118408,0.75,0.42857142857142855,0.96,0.001
13,0.47324393192927044,0.2821054458618164,0.75,0.42857142857142855,0.96,0.001
14,0.45114147663116455,0.28705596923828125,0.75,0.42857142857142855,0.9466666666666667,0.001
15,0.45841501156489056,0.3038156032562256,0.75,0.42857142857142855,0.96,0.001
16,0.4583541651566823,0.2919987738132477,0.75,0.42857142857142855,0.96,0.001
17,0.45512208342552185,0.3107604384422302,0.75,0.42857142857142855,0.9733333333333334,0.001
18,0.4659172793229421,0.29478520154953003,0.75,0.42857142857142855,0.9600000000000001,0.001
19,0.44428866108258563,0.27752548456192017,0.75,0.42857142857142855,0.9733333333333334,0.001
20,0.45228226979573566,0.2711668908596039,0.75,0.42857142857142855,1.0,0.001
21,0.43663880228996277,0.2909902036190033,0.75,0.42857142857142855,0.9866666666666667,0.001
22,0.42865081628163654,0.2708774209022522,0.85,0.7402597402597403,0.9600000000000001,0.001
23,0.42765748500823975,0.2598044276237488,0.9,0.8666666666666667,0.9600000000000001,0.001
24,0.4340685506661733,0.2678796052932739,0.9,0.8809523809523809,0.9600000000000001,0.001
25,0.4203558961550395,0.2577662467956543,0.85,0.7849462365591398,0.9333333333333333,0.001
26,0.4369761248429616,0.2512458860874176,0.9,0.8666666666666667,0.9733333333333334,0.001
27,0.42533058921496075,0.23200920224189758,0.95,0.9373040752351097,0.9733333333333334,0.001
28,0.4241088330745697,0.24939627945423126,0.9,0.8809523809523809,0.92,0.001
29,0.4081505835056305,0.24703152477741241,0.9,0.8809523809523809,0.92,0.001
30,0.41437189777692157,0.24001121520996094,0.85,0.8119122257053291,0.9733333333333334,0.001
31,0.41445548335711163,0.2496497631072998,0.9,0.8809523809523809,1.0,0.001
32,0.4085146089394887,0.23761539161205292,0.9,0.84375,0.9733333333333334,0.001
33,0.4282685120900472,0.24831697344779968,0.9,0.8809523809523809,0.9600000000000001,0.001
34,0.4012959500153859,0.19858062267303467,1.0,1.0,1.0,0.001
35,0.4134247601032257,0.19991207122802734,0.95,0.9373040752351097,1.0,0.001
36,0.40447770555814105,0.22843869030475616,0.85,0.7849462365591398,0.96,0.001
37,0.4170427719751994,0.19052660465240479,0.95,0.9373040752351097,1.0,0.001
38,0.43095020453135174,0.22093582153320312,0.9,0.8809523809523809,1.0,0.001
39,0.4451599419116974,0.255475789308548,0.85,0.7402597402597403,1.0,0.001
40,0.4110998213291168,0.21676425635814667,1.0,1.0,1.0,0.001
41,0.40763920545578003,0.16002587974071503,0.95,0.9373040752351097,1.0,0.001
42,0.4127187331517537,0.14781516790390015,0.95,0.9373040752351097,1.0,0.001
43,0.4219768246014913,0.20642180740833282,0.95,0.9373040752351097,0.96,0.001
44,0.4188672403494517,0.23519721627235413,0.9,0.8809523809523809,0.9866666666666667,0.001
45,0.42135855555534363,0.18147660791873932,1.0,1.0,1.0,0.001
46,0.40232958396275836,0.21026042103767395,0.95,0.9373040752351097,0.9866666666666667,0.001
47,0.38771597544352215,0.17299699783325195,0.95,0.9373040752351097,1.0,0.001
48,0.39749716718991596,0.13153477013111115,0.95,0.9373040752351097,1.0,0.001
49,0.3971347510814667,0.15769481658935547,0.95,0.9373040752351097,1.0,0.001
50,0.3879360556602478,0.21032097935676575,0.95,0.9373040752351097,0.96,0.001
51,0.38982776800791424,0.18500421941280365,0.95,0.9373040752351097,0.9866666666666667,0.001
52,0.3795328040917714,0.16967307031154633,0.95,0.9373040752351097,1.0,0.001
53,0.382938673098882,0.12605814635753632,0.95,0.9373040752351097,1.0,0.001
54,0.36538054545720416,0.21281620860099792,0.9,0.8666666666666667,0.9866666666666667,0.001
55,0.3925151626269023,0.1309758871793747,0.95,0.9373040752351097,1.0,0.001
56,0.3723345498243968,0.19471465051174164,0.95,0.9373040752351097,0.9466666666666667,0.001
57,0.36598166823387146,0.21529094874858856,0.9,0.8666666666666667,0.9466666666666667,0.001
58,0.38629887501398724,0.17047765851020813,0.95,0.9373040752351097,0.9866666666666667,0.001
59,0.38821003834406537,0.18384498357772827,0.95,0.9373040752351097,0.9866666666666667,0.001
60,0.3531008760134379,0.14670786261558533,0.95,0.9373040752351097,1.0,0.001
61,0.36126651366551715,0.18104687333106995,0.95,0.9373040752351097,0.9733333333333334,0.001
62,0.35264190038045246,0.21665158867835999,0.95,0.9373040752351097,0.9733333333333334,0.001
63,0.3490328292051951,0.17065025866031647,0.95,0.9373040752351097,0.9866666666666667,0.001
64,0.3427521785100301,0.1682204157114029,0.95,0.9373040752351097,0.9866666666666667,0.0001
65,0.3148140013217926,0.16510504484176636,0.95,0.9373040752351097,0.9866666666666667,0.0001
66,0.3278530339399974,0.17088626325130463,0.95,0.9373040752351097,0.9866666666666667,0.0001
67,0.3183696170647939,0.168374702334404,0.95,0.9373040752351097,0.9866666666666667,0.0001
68,0.3289135893185933,0.16266997158527374,0.95,0.9373040752351097,0.9866666666666667,0.0001
69,0.31833969553311664,0.17198136448860168,0.95,0.9373040752351097,0.9866666666666667,0.0001
70,0.3160656491915385,0.18769633769989014,0.95,0.9373040752351097,0.9733333333333334,0.0001
71,0.3193063239256541,0.19633860886096954,0.9,0.8666666666666667,0.9733333333333334,0.0001
72,0.3169110417366028,0.19300319254398346,0.9,0.8666666666666667,0.9733333333333334,0.0001
73,0.31516536076863605,0.19031693041324615,0.9,0.8666666666666667,0.9733333333333334,0.0001
74,0.31569281220436096,0.1876888871192932,0.9,0.8666666666666667,0.9733333333333334,0.0001
75,0.31281866629918414,0.19251853227615356,0.9,0.8666666666666667,0.9733333333333334,1e-05
76,0.3266386389732361,0.19289535284042358,0.9,0.8666666666666667,0.9733333333333334,1e-05
77,0.3214595119158427,0.19326771795749664,0.9,0.8666666666666667,0.9733333333333334,1e-05
78,0.3178948163986206,0.19304470717906952,0.9,0.8666666666666667,0.9733333333333334,1e-05
79,0.32193485895792645,0.19232046604156494,0.9,0.8666666666666667,0.9733333333333334,1e-05
80,0.3314254979292552,0.1924806535243988,0.9,0.8666666666666667,0.9733333333333334,1e-05
81,0.3234693805376689,0.19199757277965546,0.9,0.8666666666666667,0.9733333333333334,1e-05
82,0.3089039127031962,0.19143369793891907,0.9,0.8666666666666667,0.9733333333333334,1e-05
83,0.33250492811203003,0.19006766378879547,0.9,0.8666666666666667,0.9733333333333334,1e-05
84,0.33456416924794513,0.18927082419395447,0.9,0.8666666666666667,0.9733333333333334,1e-05
85,0.31577147046724957,0.18909935653209686,0.9,0.8666666666666667,0.9733333333333334,1e-05
86,0.31546597679456073,0.18776379525661469,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-06
87,0.31380030512809753,0.18762466311454773,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-06
88,0.31460294127464294,0.1875971555709839,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-06
89,0.3281139036019643,0.1876499205827713,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-06
90,0.30681805809338886,0.1876538097858429,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-06
91,0.31644193331400555,0.18742778897285461,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-06
92,0.2990543146928151,0.1872957944869995,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-06
93,0.3307780424753825,0.18716874718666077,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-06
94,0.32643694678942364,0.1869700849056244,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-06
95,0.3019726326068242,0.1867702305316925,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-06
96,0.3038725157578786,0.18665361404418945,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-06
97,0.3393160303433736,0.1865774393081665,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-07
98,0.3195791443188985,0.1865740716457367,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-07
99,0.3236531615257263,0.18657846748828888,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-07
100,0.30886363983154297,0.18657320737838745,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-07
101,0.32137446602185565,0.18659113347530365,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-07
102,0.3214116593201955,0.1865982711315155,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-07
103,0.31714141368865967,0.1866074502468109,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-07
104,0.3218038082122803,0.18659746646881104,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-07
105,0.32402047514915466,0.186608225107193,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-07
106,0.33275643984476727,0.18660536408424377,0.9,0.8666666666666667,0.9733333333333334,1.0000000000000002e-07
